Date,House_Price_Index,Stock_Price_Index,Consumer_Price_Index,Population,Unemployment_Rate,Mortgage_Rate,Real_Disposable_Income,Real_Interest_Rate
1987.01,63.735,14.97068,111.4,153968000,6.6,9.204,6.1595E+12,5.5
1987.02,64.134,15.86818,111.8,154123000,6.6,9.0825,6.1921E+12,5.5
1987.03,64.47,16.48206,112.2,154229000,6.6,9.035,6.2E+12,5.5
1987.04,64.974,16.22884,112.7,154362000,6.3,9.8325,5.9672E+12,5.5
1987.05,65.549,16.14232,113,154490000,6.3,10.596,6.2091E+12,5.5
1987.06,66.22,16.79351,113.5,154605000,6.2,10.5375,6.2008E+12,5.5
1987.07,66.787,17.25948,113.8,154727000,6.1,10.278,6.2181E+12,5.5
1987.08,67.27,18.23986,114.3,154811000,6,10.33,6.2442E+12,5.5
1987.09,67.624,17.67034,114.7,154937000,5.9,10.8875,6.2443E+12,5.95
1987.1,67.902,15.56062,115,155054000,6,11.26,6.2845E+12,6
1987.11,68.092,13.58801,115.4,155168000,5.8,10.65,6.3089E+12,6
1987.12,68.344,13.3575,115.6,155258000,5.7,10.64,6.3654E+12,6
1988.01,68.583,13.91834,116,155396000,5.7,10.3825,6.3788E+12,6
1988.02,68.916,14.37273,116.2,155503000,5.7,9.8925,6.416E+12,6
1988.03,69.325,14.84251,116.5,155607000,5.7,9.93,6.4422E+12,6
1988.04,69.79,14.70187,117.2,155702000,5.4,10.202,6.4643E+12,6
1988.05,70.409,14.35853,117.5,155830000,5.6,10.455,6.4734E+12,6
1988.06,71.068,15.12444,118,155985000,5.4,10.46,6.4974E+12,6
1988.07,71.686,15.06437,118.5,156130000,5.4,10.432,6.5245E+12,6
1988.08,72.185,14.78065,119,156203000,5.6,10.5975,6.5428E+12,6.37
1988.09,72.574,15.00061,119.5,156284000,5.4,10.48,6.5555E+12,6.5
1988.1,72.823,15.48469,119.9,156395000,5.4,10.3025,6.5904E+12,6.5
1988.11,73.065,15.11941,120.3,156447000,5.3,10.265,6.5926E+12,6.5
1988.12,73.279,15.38439,120.7,156527000,5.3,10.612,6.6251E+12,6.5
1989.01,73.618,15.88492,121.2,156752000,5.4,10.73,6.6534E+12,6.5
1989.02,73.969,16.3478,121.6,156812000,5.2,10.645,6.6732E+12,6.59
1989.03,74.411,16.30056,122.2,156886000,5,11.032,6.7067E+12,7
1989.04,74.868,16.7725,123.1,156959000,5.2,11.05,6.6723E+12,7
1989.05,75.296,17.35978,123.7,157044000,5.2,10.7725,6.6417E+12,7
1989.06,75.697,17.90099,124.1,157177000,5.3,10.196,6.6605E+12,7
1989.07,76.043,18.33109,124.5,157284000,5.2,9.8825,6.6839E+12,7
1989.08,76.274,19.10661,124.5,157385000,5.2,9.985,6.7016E+12,7
1989.09,76.422,19.11225,124.8,157474000,5.3,10.126,6.7217E+12,7
1989.1,76.489,19.06244,125.4,157568000,5.3,9.9475,6.7548E+12,7
1989.11,76.522,18.66268,125.9,157612000,5.4,9.7675,6.7613E+12,7
1989.12,76.498,19.07521,126.3,157703000,5.4,9.744,6.7614E+12,7
1990.01,76.527,18.56648,127.5,159353000,5.4,9.895,6.801E+12,7
1990.02,76.587,18.07759,128,159442000,5.3,10.1975,6.8151E+12,7
1990.03,76.79,18.44583,128.6,159547000,5.2,10.268,6.8169E+12,7
1990.04,77.038,18.38141,128.9,159631000,5.4,10.37,6.8606E+12,7
1990.05,77.297,18.94923,129.1,159724000,5.4,10.4775,6.8524E+12,7
1990.06,77.505,19.47706,129.9,159812000,5.2,10.164,6.8623E+12,7
1990.07,77.56,19.47469,130.5,159904000,5.5,10.035,6.8861E+12,7
1990.08,77.479,17.96866,131.6,160041000,5.7,10.1,6.8428E+12,7
1990.09,77.229,17.15432,132.5,160191000,5.9,10.175,6.8395E+12,7
1990.1,76.913,16.64209,133.4,160331000,5.9,10.1775,6.7834E+12,7
1990.11,76.381,17.05451,133.7,160467000,6.2,10.014,6.7851E+12,7
1990.12,75.972,17.78271,134.2,160564000,6.3,9.6725,6.8241E+12,6.79
1991.01,75.533,17.62213,134.7,160655000,6.4,9.6375,6.8047E+12,6.5
1991.02,75.25,19.58308,134.8,160710000,6.6,9.365,6.814E+12,6
1991.03,75.137,20.15921,134.8,160794000,6.8,9.5,6.8249E+12,6
1991.04,75.318,20.56992,135.1,160921000,6.7,9.4925,6.8517E+12,5.98
1991.05,75.769,20.49271,135.6,161017000,6.9,9.472,6.8529E+12,5.5
1991.06,76.254,20.53056,136,161141000,6.9,9.615,6.8885E+12,5.5
1991.07,76.518,20.62734,136.2,161217000,6.8,9.575,6.8752E+12,5.5
1991.08,76.595,21.12646,136.6,161354000,6.9,9.244,6.8914E+12,5.5
1991.09,76.576,21.04894,137,161521000,6.9,9.0075,6.9105E+12,5.2
1991.1,76.291,21.10341,137.2,161663000,7,8.855,6.9211E+12,5
1991.11,76.031,21.11836,137.8,161798000,7,8.712,6.9322E+12,4.58
1991.12,75.844,21.21873,138.2,161905000,7.3,8.4975,6.9957E+12,4.11
1992.01,75.699,22.71159,138.3,161987000,7.3,8.432,7.0653E+12,3.5
1992.02,75.654,22.59063,138.6,162071000,7.4,8.7625,7.0978E+12,3.5
1992.03,75.813,22.30278,139.1,162166000,7.4,8.935,7.1055E+12,3.5
1992.04,76.08,22.23713,139.4,162262000,7.4,8.8525,7.1268E+12,3.5
1992.05,76.398,22.63904,139.7,162352000,7.6,8.672,7.1611E+12,3.5
1992.06,76.602,22.24978,140.1,162493000,7.8,8.51,7.1917E+12,3.5
1992.07,76.711,22.59568,140.5,162625000,7.7,8.128,7.187E+12,3.02
1992.08,76.731,22.78407,140.8,162801000,7.6,7.975,7.2128E+12,3
1992.09,76.628,22.78986,141.1,162977000,7.6,7.9225,7.1795E+12,3
1992.1,76.598,22.47702,141.7,163122000,7.3,8.088,7.1336E+12,3
1992.11,76.579,23.05813,142.1,163275000,7.4,8.305,7.1445E+12,3
1992.12,76.464,23.71526,142.3,163388000,7.4,8.206,7.399E+12,3
1993.01,76.395,23.73477,142.8,163513000,7.3,7.9925,7.2376E+12,3
1993.02,76.328,24.10519,143.1,163621000,7.1,7.6825,7.2718E+12,3
1993.03,76.383,24.5713,143.3,163694000,7,7.495,7.2492E+12,3
1993.04,76.661,24.23496,143.8,163831000,7.1,7.472,7.2868E+12,3
1993.05,77.03,24.36321,144.2,163943000,7.1,7.465,7.2763E+12,3
1993.06,77.516,24.47691,144.3,164094000,7,7.4175,7.2629E+12,3
1993.07,77.885,24.54492,144.5,164233000,6.9,7.206,7.2812E+12,3
1993.08,78.131,24.94888,144.8,164379000,6.8,7.1125,7.2918E+12,3
1993.09,78.198,25.23904,145,164543000,6.7,6.915,7.2719E+12,3
1993.1,78.172,25.5033,145.6,164699000,6.8,6.834,7.2364E+12,3
1993.11,78.17,25.34482,146,164884000,6.6,7.155,7.2564E+12,3
1993.12,78.114,25.52289,146.3,165010000,6.5,7.172,7.5037E+12,3
1994.01,78.199,25.95653,146.3,165121000,6.6,7.06,7.3631E+12,3
1994.02,78.205,25.94262,146.7,165254000,6.6,7.1525,7.3772E+12,3
1994.03,78.35,25.48287,147.1,165327000,6.5,7.675,7.4017E+12,3
1994.04,78.702,24.55667,147.2,165476000,6.4,8.316,7.402E+12,3
1994.05,79.209,24.7144,147.5,165577000,6.1,8.5975,7.4874E+12,3.24
1994.06,79.702,24.87754,147.9,165694000,6.1,8.3975,7.4755E+12,3.5
1994.07,80.064,24.68769,148.4,165797000,6.1,8.614,7.4817E+12,3.5
1994.08,80.317,25.36024,149,165928000,6,8.5125,7.4905E+12,3.76
1994.09,80.34,25.51085,149.3,166129000,5.9,8.64,7.5232E+12,4
1994.1,80.304,25.27446,149.4,166289000,5.8,8.925,7.5947E+12,4
1994.11,80.17,25.00329,149.8,166445000,5.6,9.17,7.5944E+12,4.4
1994.12,80.079,24.62429,150.1,166584000,5.5,9.198,7.6291E+12,4.75
1995.01,80.027,25.11062,150.5,166467000,5.6,9.1475,7.6537E+12,4.75
1995.02,79.993,25.93257,150.9,166591000,5.4,8.8275,7.6691E+12,5.25
1995.03,80.079,26.42236,151.2,166690000,5.4,8.462,7.6903E+12,5.25
1995.04,80.37,27.17155,151.8,166791000,5.8,8.32,7.6336E+12,5.25
1995.05,80.692,27.90742,152.1,166897000,5.6,7.955,7.7109E+12,5.25
1995.06,81.069,28.67153,152.4,167023000,5.6,7.566,7.734E+12,5.25
1995.07,81.412,29.52861,152.6,167150000,5.7,7.6075,7.7514E+12,5.25
1995.08,81.655,29.71381,152.9,167310000,5.7,7.86,7.7566E+12,5.25
1995.09,81.739,30.73981,153.1,167459000,5.6,7.636,7.782E+12,5.25
1995.1,81.728,30.87537,153.5,167628000,5.5,7.475,7.7909E+12,5.25
1995.11,81.632,31.44986,153.7,167753000,5.6,7.3775,7.8123E+12,5.25
1995.12,81.514,32.47175,153.9,167879000,5.6,7.2,7.823E+12,5.25
1996.01,81.428,32.60315,154.7,167929000,5.6,7.03,7.8337E+12,5.24
1996.02,81.4,34.30991,155,168093000,5.5,7.075,7.8943E+12,5
1996.03,81.666,34.33728,155.5,168257000,5.5,7.624,7.9199E+12,5
1996.04,82.126,34.41353,156.1,168457000,5.6,7.925,7.8723E+12,5
1996.05,82.603,35.14032,156.4,168604000,5.6,8.07,7.972E+12,5
1996.06,83.049,35.48436,156.7,168760000,5.3,8.32,8.0203E+12,5
1996.07,83.419,34.21694,157,168918000,5.5,8.245,7.9994E+12,5
1996.08,83.646,35.1152,157.2,169078000,5.1,8.002,8.0198E+12,5
1996.09,83.703,35.7465,157.7,169248000,5.2,8.23,8.0387E+12,5
1996.1,83.63,36.99175,158.2,169408000,5.2,7.915,8.0382E+12,5
1996.11,83.557,38.49857,158.7,169585000,5.4,7.618,8.0602E+12,5
1996.12,83.491,38.78163,159.1,169734000,5.4,7.5975,8.0877E+12,5
1997.01,83.531,39.9673,159.4,170318000,5.3,7.824,8.1108E+12,5
1997.02,83.597,41.45096,159.7,170458000,5.2,7.65,8.1334E+12,5
1997.03,83.912,41.26777,159.8,170598000,5.2,7.8975,8.1721E+12,5
1997.04,84.322,39.71159,159.9,170783000,5.1,8.1425,8.1782E+12,5
1997.05,84.865,42.91642,159.9,170934000,4.9,7.944,8.2141E+12,5
1997.06,85.399,45.26382,160.2,171055000,5,7.69,8.2405E+12,5
1997.07,85.842,47.62737,160.4,171192000,4.9,7.4975,8.2717E+12,5
1997.08,86.151,47.68659,160.8,171336000,4.8,7.48,8.3146E+12,5
1997.09,86.311,48.49962,161.2,171502000,4.9,7.43,8.3364E+12,5
1997.1,86.409,49.44086,161.5,171659000,4.7,7.294,8.3776E+12,5
1997.11,86.633,48.73145,161.7,171867000,4.6,7.205,8.4318E+12,5
1997.12,86.849,49.97653,161.8,172027000,4.7,7.095,8.4803E+12,5
1998.01,87.164,49.9245,162,172061000,4.6,6.994,8.5549E+12,5
1998.02,87.374,52.69964,162,172244000,4.6,7.0425,8.6089E+12,5
1998.03,87.878,55.5262,162,172396000,4.7,7.1275,8.6583E+12,5
1998.04,88.558,57.24488,162.2,172553000,4.3,7.14,8.6856E+12,5
1998.05,89.374,56.88943,162.6,172750000,4.4,7.144,8.7211E+12,5
1998.06,90.195,56.42339,162.8,172882000,4.5,6.9975,8.7705E+12,5
1998.07,90.86,58.07058,163.2,172997000,4.5,6.952,8.786E+12,5
1998.08,91.407,53.39362,163.4,173192000,4.5,6.9225,8.8144E+12,5
1998.09,91.753,50.16512,163.5,173361000,4.6,6.7225,8.8405E+12,5
1998.1,92.001,50.65313,163.9,173537000,4.5,6.71,8.8533E+12,4.86
1998.11,92.199,55.87901,164.1,173824000,4.4,6.865,8.8898E+12,4.63
1998.12,92.445,57.03838,164.4,173995000,4.4,6.738,8.9071E+12,4.5
1999.01,92.715,58.96622,164.7,174342000,4.3,6.785,8.9564E+12,4.5
